iter	Passed	Remaining
767	1203	363
768	1205	362
769	1209	361
770	1212	360
771	1213	358
772	1215	357
773	1217	355
774	1225	355
775	1227	354
776	1228	352
777	1229	350
778	1230	349
779	1231	347
780	1232	345
781	1233	343
782	1235	342
783	1262	347
784	1263	346
785	1264	344
786	1266	342
787	1268	341
788	1269	339
789	1270	337
790	1271	336
791	1272	334
792	1274	332
793	1275	330
794	1276	329
795	1277	327
796	1278	325
797	1279	323
798	1280	322
799	1281	320
800	1281	318
801	1282	316
802	1283	314
803	1284	313
804	1284	311
805	1285	309
806	1286	307
807	1287	305
808	1288	304
809	1289	302
810	1290	300
811	1291	298
812	1292	297
813	1293	295
814	1294	293
815	1294	291
816	1295	290
817	1296	288
818	1297	286
819	1298	284
820	1299	283
821	1300	281
822	1301	279
823	1309	279
824	1310	278
825	1316	277
826	1319	275
827	1320	274
828	1323	273
829	1329	272
830	1330	270
831	1331	268
832	1332	267
833	1333	265
834	1334	263
835	1335	262
836	1336	260
837	1337	258
838	1338	256
839	1339	255
840	1340	253
841	1341	251
842	1341	249
843	1342	248
844	1344	246
845	1346	245
846	1347	243
847	1348	241
848	1350	240
849	1351	238
850	1352	236
851	1353	235
852	1354	233
853	1355	231
854	1356	230
855	1357	228
856	1357	226
857	1358	224
858	1359	223
859	1360	221
860	1361	219
861	1362	218
862	1363	216
863	1363	214
864	1365	213
865	1366	211
866	1367	209
867	1368	208
868	1368	206
869	1369	204
870	1370	202
871	1371	201
872	1372	199
873	1372	197
874	1373	196
875	1374	194
876	1375	192
877	1376	191
878	1377	189
879	1378	187
880	1379	186
881	1380	184
882	1381	183
883	1382	181
884	1383	179
885	1385	178
886	1391	177
887	1393	175
888	1404	175
889	1417	175
890	1421	173
891	1422	172
892	1424	170
893	1425	169
894	1427	167
895	1427	165
896	1429	164
897	1430	162
898	1431	160
899	1432	159
900	1433	157
901	1434	155
902	1434	154
903	1435	152
904	1436	150
905	1437	149
906	1438	147
907	1439	145
908	1442	144
909	1443	142
910	1444	141
911	1446	139
912	1446	137
913	1447	136
914	1448	134
915	1449	132
916	1449	131
917	1450	129
918	1451	127
919	1452	126
920	1452	124
921	1453	122
922	1454	121
923	1454	119
924	1455	118
925	1456	116
926	1456	114
927	1457	113
928	1458	111
929	1459	109
930	1459	108
931	1460	106
932	1461	104
933	1462	103
934	1462	101
935	1463	100
936	1464	98
937	1465	96
938	1466	95
939	1467	93
940	1467	92
941	1468	90
942	1469	88
943	1470	87
944	1471	85
945	1473	84
946	1473	82
947	1474	80
948	1475	79
949	1476	77
950	1477	76
951	1478	74
952	1478	72
953	1479	71
954	1480	69
955	1480	68
956	1481	66
957	1482	64
958	1483	63
959	1484	61
960	1484	60
961	1485	58
962	1486	57
963	1487	55
964	1487	53
965	1488	52
966	1489	50
967	1491	49
968	1492	47
969	1495	46
970	1497	44
971	1498	43
972	1499	41
973	1501	40
974	1503	38
975	1504	37
976	1506	35
977	1507	33
978	1508	32
979	1508	30
980	1509	29
981	1510	27
982	1511	26
983	1512	24
984	1513	23
985	1514	21
986	1515	19
987	1516	18
988	1516	16
989	1517	15
990	1518	13
991	1518	12
992	1519	10
993	1521	9
994	1536	7
995	1537	6
996	1549	4
997	1550	3
998	1551	1
999	1562	0
